"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Module","Eigengene"
"1","B1_Nu_O03","both","warm","hypoxic","MEmagenta",-0.0563179632650095
"2","B4_Nu_O32","both","warm","hypoxic","MEmagenta",-0.032307698555758
"3","B5_Nu_O36","both","warm","hypoxic","MEmagenta",-0.0441006957337416
"4","B6_Nu_O47","both","warm","hypoxic","MEmagenta",-0.0192880188844668
"5","C1_Nu_W01","control","ambient","normoxic","MEmagenta",-0.0617700751350299
"6","C1_Nu_W05","control","ambient","normoxic","MEmagenta",-0.0652466233025249
"7","C2_Nu_W15","control","ambient","normoxic","MEmagenta",-0.0572111734768682
"8","C3_Nu_W21","control","ambient","normoxic","MEmagenta",-0.0207919473658897
"9","C4_Nu_W29","control","ambient","normoxic","MEmagenta",-0.0460205367533233
"10","C6_Nu_W42","control","ambient","normoxic","MEmagenta",-0.076171378284581
"11","H1_Nu_B08","hypoxic","ambient","hypoxic","MEmagenta",-0.0370087614496072
"12","H2_Nu_B14","hypoxic","ambient","hypoxic","MEmagenta",-0.066607823232085
"13","H3_Nu_B18","hypoxic","ambient","hypoxic","MEmagenta",-0.0832377583195969
"14","H4_Nu_B28","hypoxic","ambient","hypoxic","MEmagenta",-0.0117991226974418
"15","H5_Nu_B35","hypoxic","ambient","hypoxic","MEmagenta",0.970272806705415
"16","W1_Nu_G02","warm","warm","normoxic","MEmagenta",-0.0279508923585574
"17","W2_Nu_G15","warm","warm","normoxic","MEmagenta",-0.0607077719368647
"18","W3_Nu_G21","warm","warm","normoxic","MEmagenta",-0.0876311630962483
"19","W4_Nu_G27","warm","warm","normoxic","MEmagenta",-0.0527407697906077
"20","W6_Nu_G41","warm","warm","normoxic","MEmagenta",-0.0672574575835293
"21","W6_Nu_G45","warm","warm","normoxic","MEmagenta",0.00389482451631628
"22","B1_Nu_O03","both","warm","hypoxic","MEviolet",-0.0595151576683976
"23","B4_Nu_O32","both","warm","hypoxic","MEviolet",-0.0631599568526794
"24","B5_Nu_O36","both","warm","hypoxic","MEviolet",-0.0808570743321818
"25","B6_Nu_O47","both","warm","hypoxic","MEviolet",-0.0888242113142851
"26","C1_Nu_W01","control","ambient","normoxic","MEviolet",-0.0841090691567525
"27","C1_Nu_W05","control","ambient","normoxic","MEviolet",0.268429753594639
"28","C2_Nu_W15","control","ambient","normoxic","MEviolet",-0.110346599896505
"29","C3_Nu_W21","control","ambient","normoxic","MEviolet",-0.0532043872125321
"30","C4_Nu_W29","control","ambient","normoxic","MEviolet",0.556602934063107
"31","C6_Nu_W42","control","ambient","normoxic","MEviolet",-0.100284264888599
"32","H1_Nu_B08","hypoxic","ambient","hypoxic","MEviolet",-0.0616961229528382
"33","H2_Nu_B14","hypoxic","ambient","hypoxic","MEviolet",-0.10894541950433
"34","H3_Nu_B18","hypoxic","ambient","hypoxic","MEviolet",-0.123365278508607
"35","H4_Nu_B28","hypoxic","ambient","hypoxic","MEviolet",-0.0676346551511783
"36","H5_Nu_B35","hypoxic","ambient","hypoxic","MEviolet",-0.0486637626696566
"37","W1_Nu_G02","warm","warm","normoxic","MEviolet",-0.0887506458330868
"38","W2_Nu_G15","warm","warm","normoxic","MEviolet",-0.109703907370375
"39","W3_Nu_G21","warm","warm","normoxic","MEviolet",-0.110849190104678
"40","W4_Nu_G27","warm","warm","normoxic","MEviolet",-0.0901344732253812
"41","W6_Nu_G41","warm","warm","normoxic","MEviolet",-0.068651220661343
"42","W6_Nu_G45","warm","warm","normoxic","MEviolet",0.69366270964566
"43","B1_Nu_O03","both","warm","hypoxic","MEdarkturquoise",-0.0795754149687107
"44","B4_Nu_O32","both","warm","hypoxic","MEdarkturquoise",-0.016283712027171
"45","B5_Nu_O36","both","warm","hypoxic","MEdarkturquoise",-0.0749167620226537
"46","B6_Nu_O47","both","warm","hypoxic","MEdarkturquoise",-0.0381241886286486
"47","C1_Nu_W01","control","ambient","normoxic","MEdarkturquoise",-0.0882644016939183
"48","C1_Nu_W05","control","ambient","normoxic","MEdarkturquoise",0.0178887033077497
"49","C2_Nu_W15","control","ambient","normoxic","MEdarkturquoise",-0.0527586838660826
"50","C3_Nu_W21","control","ambient","normoxic","MEdarkturquoise",-0.0355354348223665
"51","C4_Nu_W29","control","ambient","normoxic","MEdarkturquoise",-0.0348519190507461
"52","C6_Nu_W42","control","ambient","normoxic","MEdarkturquoise",-0.06274458185693
"53","H1_Nu_B08","hypoxic","ambient","hypoxic","MEdarkturquoise",-0.0525350540540679
"54","H2_Nu_B14","hypoxic","ambient","hypoxic","MEdarkturquoise",-0.0792629200872053
"55","H3_Nu_B18","hypoxic","ambient","hypoxic","MEdarkturquoise",-0.0757751580206024
"56","H4_Nu_B28","hypoxic","ambient","hypoxic","MEdarkturquoise",-0.0335954407864931
"57","H5_Nu_B35","hypoxic","ambient","hypoxic","MEdarkturquoise",0.010084636314588
"58","W1_Nu_G02","warm","warm","normoxic","MEdarkturquoise",-0.0379489002892416
"59","W2_Nu_G15","warm","warm","normoxic","MEdarkturquoise",-0.0656215311055185
"60","W3_Nu_G21","warm","warm","normoxic","MEdarkturquoise",-0.0625560898734335
"61","W4_Nu_G27","warm","warm","normoxic","MEdarkturquoise",-0.0292016029210848
"62","W6_Nu_G41","warm","warm","normoxic","MEdarkturquoise",-0.0762476857947306
"63","W6_Nu_G45","warm","warm","normoxic","MEdarkturquoise",0.967826142247268
"64","B1_Nu_O03","both","warm","hypoxic","MEsienna3",-0.0531151241534983
"65","B4_Nu_O32","both","warm","hypoxic","MEsienna3",-0.0366873863435622
"66","B5_Nu_O36","both","warm","hypoxic","MEsienna3",-0.0561950322056346
"67","B6_Nu_O47","both","warm","hypoxic","MEsienna3",-0.0134179409240458
"68","C1_Nu_W01","control","ambient","normoxic","MEsienna3",-0.0991895468374279
"69","C1_Nu_W05","control","ambient","normoxic","MEsienna3",-0.0510493279372966
"70","C2_Nu_W15","control","ambient","normoxic","MEsienna3",-0.122853032235778
"71","C3_Nu_W21","control","ambient","normoxic","MEsienna3",-0.0335632662159763
"72","C4_Nu_W29","control","ambient","normoxic","MEsienna3",-0.0460462230519021
"73","C6_Nu_W42","control","ambient","normoxic","MEsienna3",-0.101888325341277
"74","H1_Nu_B08","hypoxic","ambient","hypoxic","MEsienna3",-0.0413774662027579
"75","H2_Nu_B14","hypoxic","ambient","hypoxic","MEsienna3",-0.0967485859835042
"76","H3_Nu_B18","hypoxic","ambient","hypoxic","MEsienna3",-0.112988463361469
"77","H4_Nu_B28","hypoxic","ambient","hypoxic","MEsienna3",-0.00527507415441027
"78","H5_Nu_B35","hypoxic","ambient","hypoxic","MEsienna3",0.64289679130613
"79","W1_Nu_G02","warm","warm","normoxic","MEsienna3",-0.0965887092361696
"80","W2_Nu_G15","warm","warm","normoxic","MEsienna3",-0.142783852154999
"81","W3_Nu_G21","warm","warm","normoxic","MEsienna3",-0.105186756317717
"82","W4_Nu_G27","warm","warm","normoxic","MEsienna3",-0.0576393988016905
"83","W6_Nu_G41","warm","warm","normoxic","MEsienna3",-0.0537872476250826
"84","W6_Nu_G45","warm","warm","normoxic","MEsienna3",0.68348396777807
"85","B1_Nu_O03","both","warm","hypoxic","MEdarkgreen",-0.0605541924175712
"86","B4_Nu_O32","both","warm","hypoxic","MEdarkgreen",-0.0575758441241038
"87","B5_Nu_O36","both","warm","hypoxic","MEdarkgreen",-0.0323675755091431
"88","B6_Nu_O47","both","warm","hypoxic","MEdarkgreen",-0.0585317514521496
"89","C1_Nu_W01","control","ambient","normoxic","MEdarkgreen",-0.0696428005120123
"90","C1_Nu_W05","control","ambient","normoxic","MEdarkgreen",0.962209671425216
"91","C2_Nu_W15","control","ambient","normoxic","MEdarkgreen",-0.0200895157108601
"92","C3_Nu_W21","control","ambient","normoxic","MEdarkgreen",-0.0265581595748273
"93","C4_Nu_W29","control","ambient","normoxic","MEdarkgreen",-0.00853650511740388
"94","C6_Nu_W42","control","ambient","normoxic","MEdarkgreen",-0.00957241697417111
"95","H1_Nu_B08","hypoxic","ambient","hypoxic","MEdarkgreen",-0.063950095711077
"96","H2_Nu_B14","hypoxic","ambient","hypoxic","MEdarkgreen",-0.0534069644842215
"97","H3_Nu_B18","hypoxic","ambient","hypoxic","MEdarkgreen",-0.0862460053411182
"98","H4_Nu_B28","hypoxic","ambient","hypoxic","MEdarkgreen",-0.0528433229576288
"99","H5_Nu_B35","hypoxic","ambient","hypoxic","MEdarkgreen",-0.0537307492872108
"100","W1_Nu_G02","warm","warm","normoxic","MEdarkgreen",-0.0742769960465283
"101","W2_Nu_G15","warm","warm","normoxic","MEdarkgreen",-0.119823097731693
"102","W3_Nu_G21","warm","warm","normoxic","MEdarkgreen",-0.0820363061289918
"103","W4_Nu_G27","warm","warm","normoxic","MEdarkgreen",-0.0770178366010263
"104","W6_Nu_G41","warm","warm","normoxic","MEdarkgreen",0.0609091765919367
"105","W6_Nu_G45","warm","warm","normoxic","MEdarkgreen",-0.0163587123354146
"106","B1_Nu_O03","both","warm","hypoxic","MEdarkgrey",-0.0544647656778767
"107","B4_Nu_O32","both","warm","hypoxic","MEdarkgrey",-0.0270549061446136
"108","B5_Nu_O36","both","warm","hypoxic","MEdarkgrey",-0.0732581986215397
"109","B6_Nu_O47","both","warm","hypoxic","MEdarkgrey",-0.0620187902801172
"110","C1_Nu_W01","control","ambient","normoxic","MEdarkgrey",-0.0698994683235028
"111","C1_Nu_W05","control","ambient","normoxic","MEdarkgrey",0.0465940128069062
"112","C2_Nu_W15","control","ambient","normoxic","MEdarkgrey",-0.0649728418765005
"113","C3_Nu_W21","control","ambient","normoxic","MEdarkgrey",-0.0397462013550781
"114","C4_Nu_W29","control","ambient","normoxic","MEdarkgrey",-0.0198547047938544
"115","C6_Nu_W42","control","ambient","normoxic","MEdarkgrey",-0.0705462682863804
"116","H1_Nu_B08","hypoxic","ambient","hypoxic","MEdarkgrey",-0.0358738725409681
"117","H2_Nu_B14","hypoxic","ambient","hypoxic","MEdarkgrey",-0.0550995309872961
"118","H3_Nu_B18","hypoxic","ambient","hypoxic","MEdarkgrey",-0.0752150330620172
"119","H4_Nu_B28","hypoxic","ambient","hypoxic","MEdarkgrey",-0.00757613124747925
"120","H5_Nu_B35","hypoxic","ambient","hypoxic","MEdarkgrey",-0.0299800415745552
"121","W1_Nu_G02","warm","warm","normoxic","MEdarkgrey",-0.0887620331111983
"122","W2_Nu_G15","warm","warm","normoxic","MEdarkgrey",-0.0773725441786389
"123","W3_Nu_G21","warm","warm","normoxic","MEdarkgrey",-0.0738645989112908
"124","W4_Nu_G27","warm","warm","normoxic","MEdarkgrey",-0.0670004322449014
"125","W6_Nu_G41","warm","warm","normoxic","MEdarkgrey",0.966281545716875
"126","W6_Nu_G45","warm","warm","normoxic","MEdarkgrey",-0.0203151953059721
"127","B1_Nu_O03","both","warm","hypoxic","MEpaleturquoise",0.0910583254125478
"128","B4_Nu_O32","both","warm","hypoxic","MEpaleturquoise",-0.155967787254687
"129","B5_Nu_O36","both","warm","hypoxic","MEpaleturquoise",-0.0775913123527255
"130","B6_Nu_O47","both","warm","hypoxic","MEpaleturquoise",0.102969959895499
"131","C1_Nu_W01","control","ambient","normoxic","MEpaleturquoise",0.170184546895963
"132","C1_Nu_W05","control","ambient","normoxic","MEpaleturquoise",0.162318027088968
"133","C2_Nu_W15","control","ambient","normoxic","MEpaleturquoise",-0.16549334927901
"134","C3_Nu_W21","control","ambient","normoxic","MEpaleturquoise",-0.0208046121180067
"135","C4_Nu_W29","control","ambient","normoxic","MEpaleturquoise",0.257575319606988
"136","C6_Nu_W42","control","ambient","normoxic","MEpaleturquoise",-0.316222388033009
"137","H1_Nu_B08","hypoxic","ambient","hypoxic","MEpaleturquoise",0.163179555629128
"138","H2_Nu_B14","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.269557409178288
"139","H3_Nu_B18","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.327162664050882
"140","H4_Nu_B28","hypoxic","ambient","hypoxic","MEpaleturquoise",0.159578948454939
"141","H5_Nu_B35","hypoxic","ambient","hypoxic","MEpaleturquoise",0.129053355613178
"142","W1_Nu_G02","warm","warm","normoxic","MEpaleturquoise",-0.182386851344879
"143","W2_Nu_G15","warm","warm","normoxic","MEpaleturquoise",-0.306088162010246
"144","W3_Nu_G21","warm","warm","normoxic","MEpaleturquoise",-0.0625868360112953
"145","W4_Nu_G27","warm","warm","normoxic","MEpaleturquoise",-0.093624228664198
"146","W6_Nu_G41","warm","warm","normoxic","MEpaleturquoise",0.509065411150558
"147","W6_Nu_G45","warm","warm","normoxic","MEpaleturquoise",0.232502150549455
"148","B1_Nu_O03","both","warm","hypoxic","MEsalmon",-0.0739360999472374
"149","B4_Nu_O32","both","warm","hypoxic","MEsalmon",-0.0333979462079899
"150","B5_Nu_O36","both","warm","hypoxic","MEsalmon",-0.0691499391871072
"151","B6_Nu_O47","both","warm","hypoxic","MEsalmon",-0.0337411743728656
"152","C1_Nu_W01","control","ambient","normoxic","MEsalmon",-0.0705022417747291
"153","C1_Nu_W05","control","ambient","normoxic","MEsalmon",-0.0439876583578551
"154","C2_Nu_W15","control","ambient","normoxic","MEsalmon",-0.0103024594898127
"155","C3_Nu_W21","control","ambient","normoxic","MEsalmon",0.970650646129894
"156","C4_Nu_W29","control","ambient","normoxic","MEsalmon",-0.0226513091819815
"157","C6_Nu_W42","control","ambient","normoxic","MEsalmon",-0.0492619304286069
"158","H1_Nu_B08","hypoxic","ambient","hypoxic","MEsalmon",-0.00256908130465094
"159","H2_Nu_B14","hypoxic","ambient","hypoxic","MEsalmon",-0.0645567184144281
"160","H3_Nu_B18","hypoxic","ambient","hypoxic","MEsalmon",-0.0702543431820643
"161","H4_Nu_B28","hypoxic","ambient","hypoxic","MEsalmon",-0.0389917327776976
"162","H5_Nu_B35","hypoxic","ambient","hypoxic","MEsalmon",-0.0393161960406548
"163","W1_Nu_G02","warm","warm","normoxic","MEsalmon",-0.0569580779067454
"164","W2_Nu_G15","warm","warm","normoxic","MEsalmon",-0.0655010031991284
"165","W3_Nu_G21","warm","warm","normoxic","MEsalmon",-0.0876990558240942
"166","W4_Nu_G27","warm","warm","normoxic","MEsalmon",-0.0433133339128874
"167","W6_Nu_G41","warm","warm","normoxic","MEsalmon",-0.0758735986111519
"168","W6_Nu_G45","warm","warm","normoxic","MEsalmon",-0.0186867460082065
"169","B1_Nu_O03","both","warm","hypoxic","MEgreenyellow",-0.0190460936613396
"170","B4_Nu_O32","both","warm","hypoxic","MEgreenyellow",-0.105938135607586
"171","B5_Nu_O36","both","warm","hypoxic","MEgreenyellow",-0.00353302912920812
"172","B6_Nu_O47","both","warm","hypoxic","MEgreenyellow",0.0595106250782181
"173","C1_Nu_W01","control","ambient","normoxic","MEgreenyellow",0.0084396366781103
"174","C1_Nu_W05","control","ambient","normoxic","MEgreenyellow",-0.0604649935972877
"175","C2_Nu_W15","control","ambient","normoxic","MEgreenyellow",-0.0282354458786089
"176","C3_Nu_W21","control","ambient","normoxic","MEgreenyellow",-0.0386022828098461
"177","C4_Nu_W29","control","ambient","normoxic","MEgreenyellow",-0.0511408047562853
"178","C6_Nu_W42","control","ambient","normoxic","MEgreenyellow",-0.184330986090091
"179","H1_Nu_B08","hypoxic","ambient","hypoxic","MEgreenyellow",-0.0532868309525505
"180","H2_Nu_B14","hypoxic","ambient","hypoxic","MEgreenyellow",-0.0622321067025064
"181","H3_Nu_B18","hypoxic","ambient","hypoxic","MEgreenyellow",-0.112210569983664
"182","H4_Nu_B28","hypoxic","ambient","hypoxic","MEgreenyellow",-0.0655137659379469
"183","H5_Nu_B35","hypoxic","ambient","hypoxic","MEgreenyellow",0.0150456943649961
"184","W1_Nu_G02","warm","warm","normoxic","MEgreenyellow",0.947785306559306
"185","W2_Nu_G15","warm","warm","normoxic","MEgreenyellow",-0.0314491042702353
"186","W3_Nu_G21","warm","warm","normoxic","MEgreenyellow",-0.0894868267047013
"187","W4_Nu_G27","warm","warm","normoxic","MEgreenyellow",0.0108346576149765
"188","W6_Nu_G41","warm","warm","normoxic","MEgreenyellow",-0.0976651127308509
"189","W6_Nu_G45","warm","warm","normoxic","MEgreenyellow",-0.0384798314828989
"190","B1_Nu_O03","both","warm","hypoxic","MEred",-0.074613099146685
"191","B4_Nu_O32","both","warm","hypoxic","MEred",-0.0515528519766185
"192","B5_Nu_O36","both","warm","hypoxic","MEred",-0.0536984698763155
"193","B6_Nu_O47","both","warm","hypoxic","MEred",0.949725043081302
"194","C1_Nu_W01","control","ambient","normoxic","MEred",-0.0909248249243535
"195","C1_Nu_W05","control","ambient","normoxic","MEred",-0.0982882096334945
"196","C2_Nu_W15","control","ambient","normoxic","MEred",0.0486377004118549
"197","C3_Nu_W21","control","ambient","normoxic","MEred",-0.0583284367683118
"198","C4_Nu_W29","control","ambient","normoxic","MEred",-0.0786115149205518
"199","C6_Nu_W42","control","ambient","normoxic","MEred",-0.0948717760804081
"200","H1_Nu_B08","hypoxic","ambient","hypoxic","MEred",-0.0627042962122299
"201","H2_Nu_B14","hypoxic","ambient","hypoxic","MEred",0.0104370089850263
"202","H3_Nu_B18","hypoxic","ambient","hypoxic","MEred",0.000928627183709314
"203","H4_Nu_B28","hypoxic","ambient","hypoxic","MEred",-0.0340071850725588
"204","H5_Nu_B35","hypoxic","ambient","hypoxic","MEred",-0.0399564884394229
"205","W1_Nu_G02","warm","warm","normoxic","MEred",0.0380963104165292
"206","W2_Nu_G15","warm","warm","normoxic","MEred",-0.113942345112245
"207","W3_Nu_G21","warm","warm","normoxic","MEred",-0.0965684197851176
"208","W4_Nu_G27","warm","warm","normoxic","MEred",0.0588539595438498
"209","W6_Nu_G41","warm","warm","normoxic","MEred",-0.106148466516773
"210","W6_Nu_G45","warm","warm","normoxic","MEred",-0.0524622651571859
"211","B1_Nu_O03","both","warm","hypoxic","MEgreen",-0.0514719814651185
"212","B4_Nu_O32","both","warm","hypoxic","MEgreen",-0.0149689857313742
"213","B5_Nu_O36","both","warm","hypoxic","MEgreen",0.963356744622702
"214","B6_Nu_O47","both","warm","hypoxic","MEgreen",0.00610367358333062
"215","C1_Nu_W01","control","ambient","normoxic","MEgreen",-0.067846580259839
"216","C1_Nu_W05","control","ambient","normoxic","MEgreen",-0.0469417736285001
"217","C2_Nu_W15","control","ambient","normoxic","MEgreen",-0.0364545103312701
"218","C3_Nu_W21","control","ambient","normoxic","MEgreen",-0.0214421641223636
"219","C4_Nu_W29","control","ambient","normoxic","MEgreen",-0.0737510154762323
"220","C6_Nu_W42","control","ambient","normoxic","MEgreen",-0.0357310700482427
"221","H1_Nu_B08","hypoxic","ambient","hypoxic","MEgreen",-0.0506385241844198
"222","H2_Nu_B14","hypoxic","ambient","hypoxic","MEgreen",-0.0710894444076873
"223","H3_Nu_B18","hypoxic","ambient","hypoxic","MEgreen",-0.105887467049376
"224","H4_Nu_B28","hypoxic","ambient","hypoxic","MEgreen",-0.0101581171287339
"225","H5_Nu_B35","hypoxic","ambient","hypoxic","MEgreen",0.0147435630780274
"226","W1_Nu_G02","warm","warm","normoxic","MEgreen",-0.00351252431246219
"227","W2_Nu_G15","warm","warm","normoxic","MEgreen",-0.0797535564900104
"228","W3_Nu_G21","warm","warm","normoxic","MEgreen",-0.112692178256972
"229","W4_Nu_G27","warm","warm","normoxic","MEgreen",-0.0777367593818935
"230","W6_Nu_G41","warm","warm","normoxic","MEgreen",-0.0916593077119912
"231","W6_Nu_G45","warm","warm","normoxic","MEgreen",-0.0324680212975742
