Sample,Assigned,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity
counts_B1_B1_O01,43560302,13364315,0,0,0,0,0,0,17626841,0,0,7292854,0,1315530
counts_B1_Nu_O03,61112992,18535006,0,0,0,0,0,0,27272204,0,0,10638161,0,1889859
counts_B1_W5_O50,41697027,12006768,0,0,0,0,0,0,19337191,0,0,7014364,0,1263414
counts_B2_B5_O51,46515407,13001667,0,0,0,0,0,0,21897610,0,0,8567980,0,1410398
counts_B2_C4_O40,45537802,13858521,0,0,0,0,0,0,25570278,0,0,9058567,0,1460110
counts_B2_Nu_O12,62786888,17374948,0,0,0,0,0,0,22900081,0,0,12562764,0,1714702
counts_B3_B4_O41,38608749,10741014,0,0,0,0,0,0,17858938,0,0,7989446,0,1206581
counts_B3_C3_O30,38864295,11334847,0,0,0,0,0,0,41395612,0,0,9083171,0,1126318
counts_B3_C6_O66,65319762,17552268,0,0,0,0,0,0,20545235,0,0,12086893,0,1938491
counts_B3_H4_O41,38897083,12182742,0,0,0,0,0,0,19319426,0,0,9244350,0,1202023
counts_B3_Nu_O24,677310,2779616,0,0,0,0,0,0,5511870,0,0,223515,0,21361
counts_B3_W1_O06,42460708,13186473,0,0,0,0,0,0,20529166,0,0,9137694,0,1397350
counts_B3_W4_O41,39162142,11780794,0,0,0,0,0,0,27166615,0,0,7758932,0,1244777
counts_B4_B2_O19,41911780,12021087,0,0,0,0,0,0,19321940,0,0,10158620,0,1295371
counts_B4_B3_O32,40684104,12466844,0,0,0,0,0,0,46950517,0,0,7719359,0,1231198
counts_B4_C5_O56,43439361,12474288,0,0,0,0,0,0,21009818,0,0,9543280,0,1239567
counts_B4_H1_O07,33050483,6594438,0,0,0,0,0,0,32902029,0,0,11904878,0,817667
counts_B4_H5_O55,36092702,9256945,0,0,0,0,0,0,17909911,0,0,10999850,0,1067544
counts_B4_Nu_O32,67571617,20262378,0,0,0,0,0,0,20988223,0,0,11329421,0,2203678
counts_B4_W2_O19,39395646,11927124,0,0,0,0,0,0,23900771,0,0,6645352,0,1222500
counts_B4_W6_O67,43441667,12402635,0,0,0,0,0,0,16169181,0,0,10432791,0,1320001
counts_B5_B6_O69,55232261,15882731,0,0,0,0,0,0,17001682,0,0,10149777,0,1679324
counts_B5_C1_O09,39862782,11562551,0,0,0,0,0,0,74060843,0,0,9540882,0,1428484
counts_B5_H2_O21,45535449,13842109,0,0,0,0,0,0,25762477,0,0,9952870,0,1413908
counts_B5_Nu_O36,49914009,15000185,0,0,0,0,0,0,14968216,0,0,8857862,0,1639567
counts_B5_W3_O33,43603054,13961399,0,0,0,0,0,0,15202407,0,0,8294996,0,1454297
counts_B6_C2_O24,41436054,12375488,0,0,0,0,0,0,16713908,0,0,8785899,0,1296018
counts_B6_H3_O35,57584927,17490194,0,0,0,0,0,0,18846794,0,0,9653632,0,1852424
counts_B6_H6_O72,36921178,11530227,0,0,0,0,0,0,21321125,0,0,7155499,0,1150705
counts_B6_Nu_O47,52224129,16261060,0,0,0,0,0,0,15661461,0,0,8174475,0,1649856
counts_C1_C4_W37,43656570,12472517,0,0,0,0,0,0,25921877,0,0,8702161,0,1519596
counts_C1_H2_W13,68334525,20518413,0,0,0,0,0,0,21435269,0,0,13403937,0,2087769
counts_C1_H6_W62,38590482,11698892,0,0,0,0,0,0,16291835,0,0,8668663,0,1213161
counts_C1_Nu_W01,60646204,17095875,0,0,0,0,0,0,17914145,0,0,9195927,0,1824530
counts_C1_Nu_W05,50951506,14608376,0,0,0,0,0,0,15314791,0,0,10378725,0,1635688
counts_C2_B2_W16,39029575,11244427,0,0,0,0,0,0,21733153,0,0,7635479,0,1218357
counts_C2_C1_W03,41230573,13313880,0,0,0,0,0,0,16943977,0,0,7413051,0,1268695
counts_C2_H1_W04,39070787,10958753,0,0,0,0,0,0,15777948,0,0,8711161,0,1094459
counts_C2_Nu_W15,53874194,15911958,0,0,0,0,0,0,16108855,0,0,11982667,0,1744651
counts_C2_W2_W15,44625486,12975993,0,0,0,0,0,0,24836731,0,0,10120689,0,1285948
counts_C3_B3_W30,38530998,11011952,0,0,0,0,0,0,35792604,0,0,7171728,0,1200548
counts_C3_C2_W17,44719722,12134272,0,0,0,0,0,0,20376787,0,0,9590525,0,1376493
counts_C3_Nu_W21,69598206,20197313,0,0,0,0,0,0,20740719,0,0,10821349,0,2194852
counts_C3_W3_W29,37564313,12334977,0,0,0,0,0,0,45355474,0,0,6999050,0,1233621
counts_C4_B1_W07,41524785,13040212,0,0,0,0,0,0,16876792,0,0,6970485,0,1294324
counts_C4_B5_W56,57533195,17581960,0,0,0,0,0,0,18779332,0,0,14006565,0,1706112
counts_C4_C6_W67,55092634,16580359,0,0,0,0,0,0,17916914,0,0,9842731,0,1702562
counts_C4_H5_W56,37610076,11992982,0,0,0,0,0,0,14931005,0,0,6706892,0,1194629
counts_C4_Nu_W29,72728573,21519767,0,0,0,0,0,0,26411353,0,0,11593633,0,2261600
counts_C5_B4_W46,42319155,11529704,0,0,0,0,0,0,21821779,0,0,9347978,0,1224659
counts_C5_C3_W33,50403176,13824489,0,0,0,0,0,0,16609557,0,0,10967511,0,1543168
counts_C5_W1_W09,39562592,11698938,0,0,0,0,0,0,27043979,0,0,8367703,0,1259403
counts_C5_W4_W45,40377464,11883784,0,0,0,0,0,0,16570276,0,0,8071186,0,1152735
counts_C6_B6_W71,48081600,13231708,0,0,0,0,0,0,20269808,0,0,8024202,0,1375728
counts_C6_C5_W59,50650125,14031252,0,0,0,0,0,0,16913857,0,0,9228254,0,1536494
counts_C6_H3_W36,53025286,15843269,0,0,0,0,0,0,16167480,0,0,7959306,0,1707205
counts_C6_H4_W48,42384231,13636420,0,0,0,0,0,0,17037283,0,0,8398538,0,1308769
counts_C6_Nu_W42,51453804,14951720,0,0,0,0,0,0,15346040,0,0,10569355,0,1608651
counts_C6_W6_W72,42084895,12318576,0,0,0,0,0,0,17660262,0,0,7644124,0,1279734
counts_C_W5_W52,43558014,13169077,0,0,0,0,0,0,21241415,0,0,9588421,0,1344441
counts_H1_B2_B13,37241504,11138050,0,0,0,0,0,0,15020309,0,0,8146838,0,1249781
counts_H1_B6_B61,40916674,12932125,0,0,0,0,0,0,20585787,0,0,8707543,0,1349356
counts_H1_C6_B62,62804498,18020022,0,0,0,0,0,0,21700122,0,0,12015854,0,1902411
counts_H1_Nu_B08,53257959,15610536,0,0,0,0,0,0,17685476,0,0,8016694,0,1581823
counts_H1_W4_B38,41780476,12234007,0,0,0,0,0,0,22297533,0,0,10779909,0,1228459
counts_H1_W5_B49,39690889,12376107,0,0,0,0,0,0,20807244,0,0,7117610,0,1259745
counts_H2_B5_B51,41178134,11951013,0,0,0,0,0,0,20712067,0,0,9278535,0,1337740
counts_H2_C1_B04,43993971,12316396,0,0,0,0,0,0,18347961,0,0,8321405,0,1327010
counts_H2_H1_B03,43013661,12468827,0,0,0,0,0,0,18712840,0,0,9210291,0,1371067
counts_H2_H5_B51,47864638,13552502,0,0,0,0,0,0,22860345,0,0,8241480,0,1955566
counts_H2_Nu_B14,70372111,18767508,0,0,0,0,0,0,19660072,0,0,10627353,0,2259054
counts_H2_W2_B16,40593828,12199663,0,0,0,0,0,0,16865542,0,0,9481121,0,1330565
counts_H3_B4_B41,34857362,8993248,0,0,0,0,0,0,20650409,0,0,20634536,0,1031342
counts_H3_C5_B54,48746646,13221514,0,0,0,0,0,0,15446905,0,0,10885826,0,1466146
counts_H3_H4_B41,38824826,11154896,0,0,0,0,0,0,19506997,0,0,6810720,0,1210213
counts_H3_H6_B66,41844265,13059690,0,0,0,0,0,0,18062327,0,0,7771698,0,1343762
counts_H3_Nu_B18,47535993,13087443,0,0,0,0,0,0,15182015,0,0,11781126,0,1384783
counts_H3_W3_B30,38723937,13101345,0,0,0,0,0,0,15322711,0,0,7395198,0,1328416
counts_H3_W6_B66,35599370,10495041,0,0,0,0,0,0,14108825,0,0,8321704,0,1145003
counts_H4_H2_B19,48402403,13835442,0,0,0,0,0,0,20772122,0,0,9707379,0,1450351
counts_H4_Nu_B28,54871982,17470121,0,0,0,0,0,0,18755273,0,0,9786330,0,1768505
counts_H4_W1_B07,37464936,12761794,0,0,0,0,0,0,18925960,0,0,7238234,0,1212048
counts_H5_B1_B09,42796504,12514210,0,0,0,0,0,0,15759419,0,0,8542666,0,1289769
counts_H5_B3_B34,42424939,13118707,0,0,0,0,0,0,20798697,0,0,8559992,0,1341182
counts_H5_C2_B22,36908449,10218939,0,0,0,0,0,0,20515839,0,0,8336893,0,1114416
counts_H5_C4_B46,38386087,11261272,0,0,0,0,0,0,14701545,0,0,7204228,0,1184623
counts_H5_Nu_B35,47906115,15632579,0,0,0,0,0,0,14416755,0,0,8747951,0,1605688
counts_H6_C3_B36,39876122,11479638,0,0,0,0,0,0,21128677,0,0,10801264,0,1157853
counts_H6_H3_B35,60750860,17121784,0,0,0,0,0,0,20227355,0,0,11672255,0,1769174
counts_H6_Nu_B45,50180425,13969277,0,0,0,0,0,0,16683303,0,0,9111076,0,1393187
counts_W1_C1_G02,42218718,12843340,0,0,0,0,0,0,21320875,0,0,7988526,0,1207103
counts_W1_C6_G61,67832209,18770973,0,0,0,0,0,0,22411981,0,0,13355250,0,2113032
counts_W1_H5_G49,68222124,18822921,0,0,0,0,0,0,21362880,0,0,12758430,0,2165248
counts_W1_Nu_G02,68733213,21582019,0,0,0,0,0,0,23199676,0,0,9069338,0,2166461
counts_W1_W1_G01,44575510,14414057,0,0,0,0,0,0,17031556,0,0,7920944,0,1439600
counts_W1_W6_G62,60924943,18815582,0,0,0,0,0,0,19156200,0,0,10721685,0,1950643
counts_W2_B2_G04,37967301,8681913,0,0,0,0,0,0,17749987,0,0,9963816,0,1011138
counts_W2_B6_G64,39225421,11285584,0,0,0,0,0,0,19565713,0,0,7674384,0,1210620
counts_W2_C2_G15,43307833,11557610,0,0,0,0,0,0,27714429,0,0,9059693,0,1323639
counts_W2_Nu_G15,48731374,13630137,0,0,0,0,0,0,15716919,0,0,8899181,0,1465280
counts_W3_B5_G54,49901592,14056847,0,0,0,0,0,0,22362640,0,0,9866104,0,1509686
counts_W3_C3_G29,38141684,10614385,0,0,0,0,0,0,23782957,0,0,9084288,0,1139637
counts_W3_H2_G18,39896850,12413823,0,0,0,0,0,0,17560910,0,0,8318543,0,1243827
counts_W3_H3_G30,61601139,16664839,0,0,0,0,0,0,19128931,0,0,11012523,0,1839363
counts_W3_Nu_G21,66117466,17690747,0,0,0,0,0,0,25901991,0,0,11991374,0,1830012
counts_W4_C5_G55,43034810,11994334,0,0,0,0,0,0,29283227,0,0,8286159,0,1351952
counts_W4_H1_G08,42612215,13388838,0,0,0,0,0,0,19196620,0,0,8670444,0,1340573
counts_W4_Nu_G27,58945639,17182610,0,0,0,0,0,0,17851613,0,0,10265192,0,1769068
counts_W4_W5_G56,42263336,10895945,0,0,0,0,0,0,21325642,0,0,11073491,0,1218752
counts_W5_B2_G21,47509531,16462915,0,0,0,0,0,0,28700989,0,0,9861481,0,1550406
counts_W5_C4_G45,35466383,9665090,0,0,0,0,0,0,27204135,0,0,8696117,0,1060845
counts_W5_H4_G46,41207787,12913686,0,0,0,0,0,0,20092815,0,0,8331458,0,1274339
counts_W5_W2_G22,42645904,13903689,0,0,0,0,0,0,17018860,0,0,7788812,0,1389167
counts_W6_B3_G35,39291085,12347085,0,0,0,0,0,0,16660986,0,0,8654294,0,1219684
counts_W6_B4_G48,41392053,11755597,0,0,0,0,0,0,19284536,0,0,9318148,0,1189194
counts_W6_H6_G71,39179329,11572045,0,0,0,0,0,0,16280584,0,0,9190712,0,1240180
counts_W6_Nu_G41,55074261,14443170,0,0,0,0,0,0,16898869,0,0,10854545,0,1610380
counts_W6_Nu_G45,42373493,13002106,0,0,0,0,0,0,13077857,0,0,7200263,0,1296102
counts_W6_W3_G36,37432096,11012239,0,0,0,0,0,0,35428751,0,0,9137218,0,1162402
counts_W6_W4_G48,41618668,11441677,0,0,0,0,0,0,17156614,0,0,8734728,0,1204486
